# Logfile created on 2014-05-09 10:27:38 -0500 by logger.rb/41954
I, [2014-05-09T10:27:38.223210 #13132]  INFO -- : Executing: CREATE TABLE gifs (id INTEGER PRIMARY KEY AUTOINCREMENT, url varchar(100), category varchar(50), emotion varchar(50), reference(50)) with: []
I, [2014-05-09T10:29:06.486479 #13133]  INFO -- : Executing: CREATE TABLE gifs (id INTEGER PRIMARY KEY AUTOINCREMENT, url varchar(100), category varchar(50), emotion varchar(50), reference varchar(50)) with: []
I, [2014-05-09T10:29:06.493179 #13133]  INFO -- : Executing: CREATE TABLE gifs (id INTEGER PRIMARY KEY AUTOINCREMENT, url varchar(100), category varchar(50), emotion varchar(50), reference varchar(50)) with: []
I, [2014-05-09T14:22:26.976230 #14250]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T14:30:48.517185 #14267]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T14:49:19.059094 #14312]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T14:49:23.798766 #14312]  INFO -- : Executing: Select emotion from gifs; with: []
I, [2014-05-09T14:49:24.343557 #14312]  INFO -- : Executing: Select reference from gifs; with: []
I, [2014-05-09T14:49:40.731406 #14313]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T14:49:42.504891 #14313]  INFO -- : Executing: Select emotion from gifs; with: []
I, [2014-05-09T14:49:44.889573 #14313]  INFO -- : Executing: Select reference from gifs; with: []
I, [2014-05-09T15:05:05.410433 #14344]  INFO -- : Executing: Select count(*) from gifs; with: []
I, [2014-05-09T15:05:15.754332 #14349]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T15:05:16.472426 #14349]  INFO -- : Executing: Select emotion from gifs; with: []
I, [2014-05-09T15:05:17.144540 #14349]  INFO -- : Executing: Select reference from gifs; with: []
I, [2014-05-09T15:23:20.352663 #14485]  INFO -- : Executing: Select count(*) from gifs; with: []
I, [2014-05-09T15:23:28.691902 #14486]  INFO -- : Executing: Select category from gifs; with: []
I, [2014-05-09T15:23:43.823240 #14486]  INFO -- : Executing: Select emotion from gifs; with: []
I, [2014-05-09T15:23:46.559190 #14486]  INFO -- : Executing: Select reference from gifs; with: []
I, [2014-05-09T15:23:48.399293 #14486]  INFO -- : Executing: Select reference from gifs; with: []
I, [2014-05-09T15:48:44.020039 #14586]  INFO -- : Executing: Select count(*) from gifs; with: []
